"Trends","Search volume","Started","Ended","Trend breakdown","Explore link"
"蘇澳","20K+","November 11, 2025 at 7:50:00 PM UTC+8",,"蘇澳,蘇澳淹水,宜蘭,宜蘭淹水,宜蘭縣政府,淹水,羅東淹水,大豪雨特報,宜蘭縣,宜蘭 淹水,宜蘭颱風,颱風假宜蘭,颱風假 宜蘭,宜蘭災情,羅東,蘇澳煙波,宜蘭蘇澳,南方澳,林茂盛,三立新聞,雨量","https://trends.google.com/trends/explore?q=%E8%98%87%E6%BE%B3&geo=TW&hl=en-US"
"windy","50K+","November 9, 2025 at 6:40:00 AM UTC+8",,"windy","https://trends.google.com/trends/explore?q=windy&geo=TW&hl=en-US"
"劉真","10K+","November 10, 2025 at 9:30:00 PM UTC+8",,"劉真,辛龍","https://trends.google.com/trends/explore?q=%E5%8A%89%E7%9C%9F&geo=TW&hl=en-US"
"江漢聲","10K+","November 11, 2025 at 4:20:00 PM UTC+8",,"江漢聲,輔大醫院,輔大","https://trends.google.com/trends/explore?q=%E6%B1%9F%E6%BC%A2%E8%81%B2&geo=TW&hl=en-US"
"三上悠亞加盟","20K+","November 10, 2025 at 2:30:00 PM UTC+8",,"三上悠亞加盟,夢想家,夢想家啦啦隊,福爾摩沙夢想家,夢想家主場","https://trends.google.com/trends/explore?q=%E4%B8%89%E4%B8%8A%E6%82%A0%E4%BA%9E%E5%8A%A0%E7%9B%9F&geo=TW&hl=en-US"
"終極戰士殺戮星球","10K+","November 6, 2025 at 11:50:00 AM UTC+8",,"終極戰士殺戮星球,終極戰士,殺戮星球","https://trends.google.com/trends/explore?q=%E7%B5%82%E6%A5%B5%E6%88%B0%E5%A3%AB%E6%AE%BA%E6%88%AE%E6%98%9F%E7%90%83&geo=TW&hl=en-US"
"atp年終賽","5K+","November 9, 2025 at 2:20:00 AM UTC+8",,"atp年終賽,揚尼克·辛納","https://trends.google.com/trends/explore?q=atp%E5%B9%B4%E7%B5%82%E8%B3%BD&geo=TW&hl=en-US"
"babymonster 演唱會","5K+","November 8, 2025 at 10:20:00 AM UTC+8",,"babymonster 演唱會","https://trends.google.com/trends/explore?q=babymonster%20%E6%BC%94%E5%94%B1%E6%9C%83&geo=TW&hl=en-US"
"赤鬼伯伯","2K+","November 10, 2025 at 3:30:00 PM UTC+8",,"赤鬼伯伯,赤鬼 joey","https://trends.google.com/trends/explore?q=%E8%B5%A4%E9%AC%BC%E4%BC%AF%E4%BC%AF&geo=TW&hl=en-US"
"翁曉玲","1K+","November 11, 2025 at 6:50:00 PM UTC+8",,"翁曉玲","https://trends.google.com/trends/explore?q=%E7%BF%81%E6%9B%89%E7%8E%B2&geo=TW&hl=en-US"
"芬普尼","100K+","November 9, 2025 at 6:40:00 PM UTC+8","November 12, 2025 at 2:40:00 AM UTC+8","芬普尼,毒雞蛋,雞蛋,蛋,芬普尼雞蛋,雞蛋芬普尼,全聯雞蛋,芬普尼是什麼,毒蛋,全聯,鮮健蛋品洗選蛋,富翁洗選蛋,雞蛋編號,芬普尼毒蛋,全聯毒雞蛋,文雅畜牧場,全聯蛋,芬普尼蛋,全聯 蛋,毒雞蛋新聞,普芬尼,毒蛋編號,普芬尼雞蛋,芬普尼代謝物,鮮健蛋品洗選蛋(白殼雞蛋),全聯 雞蛋,雞蛋溯源碼,全聯福利中心,彰化,彰化縣政府,毒雞蛋 9 品項曝光 15 萬顆流入 9 縣市全聯全力協助退貨,雞蛋農藥,問題蛋,毒蛋全聯","https://trends.google.com/trends/explore?q=%E8%8A%AC%E6%99%AE%E5%B0%BC&geo=TW&hl=en-US"
"馮健庭","500+","November 11, 2025 at 11:40:00 PM UTC+8",,"馮健庭","https://trends.google.com/trends/explore?q=%E9%A6%AE%E5%81%A5%E5%BA%AD&geo=TW&hl=en-US"
"方馨","2K+","November 11, 2025 at 7:00:00 PM UTC+8",,"方馨,唐美雲","https://trends.google.com/trends/explore?q=%E6%96%B9%E9%A6%A8&geo=TW&hl=en-US"
"今井達也","2K+","November 10, 2025 at 11:50:00 AM UTC+8",,"今井達也","https://trends.google.com/trends/explore?q=%E4%BB%8A%E4%BA%95%E9%81%94%E4%B9%9F&geo=TW&hl=en-US"
"赤西仁","1K+","November 11, 2025 at 9:30:00 PM UTC+8",,"赤西仁,龜梨和也","https://trends.google.com/trends/explore?q=%E8%B5%A4%E8%A5%BF%E4%BB%81&geo=TW&hl=en-US"
"南投","20K+","November 11, 2025 at 7:50:00 PM UTC+8",,"南投,雲林,彰化,嘉義市,南投縣政府,雲林縣政府,嘉義市政府,張麗善,彰化縣停班停課,颱風放假公告,南投縣長,南投縣,雲林縣,彰化縣,颱風假規定,颱風假雲林,雲林縣停班停課,颱風假上班,颱風假 雲林,苗栗縣,雲林放假,颱風假苗栗,颱風假 居住地,嘉義放假,颱風假居住地上班地","https://trends.google.com/trends/explore?q=%E5%8D%97%E6%8A%95&geo=TW&hl=en-US"
"緯穎","5K+","November 11, 2025 at 9:00:00 AM UTC+8",,"緯穎,6669,緯穎股價","https://trends.google.com/trends/explore?q=%E7%B7%AF%E7%A9%8E&geo=TW&hl=en-US"
"巴菲特","2K+","November 11, 2025 at 9:10:00 AM UTC+8",,"巴菲特","https://trends.google.com/trends/explore?q=%E5%B7%B4%E8%8F%B2%E7%89%B9&geo=TW&hl=en-US"
"趙薇","500+","November 11, 2025 at 8:50:00 PM UTC+8",,"趙薇","https://trends.google.com/trends/explore?q=%E8%B6%99%E8%96%87&geo=TW&hl=en-US"
"nico harrison","500+","November 12, 2025 at 12:00:00 AM UTC+8",,"nico harrison","https://trends.google.com/trends/explore?q=nico%20harrison&geo=TW&hl=en-US"
"不二家","200+","November 12, 2025 at 1:10:00 AM UTC+8",,"不二家","https://trends.google.com/trends/explore?q=%E4%B8%8D%E4%BA%8C%E5%AE%B6&geo=TW&hl=en-US"
"地震","100K+","November 10, 2025 at 1:00:00 PM UTC+8","November 11, 2025 at 6:40:00 AM UTC+8","地震,高雄地震,甲仙,地震台灣,地震快報,台灣地震,高雄 地震,地震震央,11/10地震,甲仙地震","https://trends.google.com/trends/explore?q=%E5%9C%B0%E9%9C%87&geo=TW&hl=en-US"
"iphone pocket","500+","November 11, 2025 at 9:00:00 PM UTC+8",,"iphone pocket","https://trends.google.com/trends/explore?q=iphone%20pocket&geo=TW&hl=en-US"
"水利署","10K+","November 11, 2025 at 7:00:00 PM UTC+8",,"水利署,花蓮,馬太鞍,明利村,光復,馬太鞍溪堰塞湖,馬太鞍溪,萬榮鄉,花蓮縣政府,內政部,堰塞湖","https://trends.google.com/trends/explore?q=%E6%B0%B4%E5%88%A9%E7%BD%B2&geo=TW&hl=en-US"
"雙11優惠","20K+","November 10, 2025 at 5:00:00 AM UTC+8","November 12, 2025 at 12:30:00 AM UTC+8","雙11優惠,雙11,小米,蝦皮雙11,第一銀行","https://trends.google.com/trends/explore?q=%E9%9B%9911%E5%84%AA%E6%83%A0&geo=TW&hl=en-US"
"typhoon taiwan","10K+","November 9, 2025 at 6:20:00 AM UTC+8","November 12, 2025 at 1:50:00 AM UTC+8","typhoon taiwan,typhoon,taiwan typhoon,taiwan weather,taipei weather","https://trends.google.com/trends/explore?q=typhoon%20taiwan&geo=TW&hl=en-US"
"台風","10K+","November 8, 2025 at 6:30:00 PM UTC+8","November 12, 2025 at 2:00:00 AM UTC+8","台風,風速,台風情報,台湾 台風","https://trends.google.com/trends/explore?q=%E5%8F%B0%E9%A2%A8&geo=TW&hl=en-US"
"all her fault","500+","November 11, 2025 at 7:10:00 PM UTC+8",,"all her fault","https://trends.google.com/trends/explore?q=all%20her%20fault&geo=TW&hl=en-US"
"粿粿王子影片","50K+","November 6, 2025 at 6:50:00 PM UTC+8","November 10, 2025 at 1:40:00 PM UTC+8","粿粿王子影片,王子粿粿照片,王子粿粿影片,粿粿王子照片,王子粿粿證據,粿粿照片,粿粿王子相擁,玉米泉哥,粿王照片,好看娛樂,粿粿王子證據,王子粿粿相擁,57爆新聞","https://trends.google.com/trends/explore?q=%E7%B2%BF%E7%B2%BF%E7%8E%8B%E5%AD%90%E5%BD%B1%E7%89%87&geo=TW&hl=en-US"
"新竹","10K+","November 10, 2025 at 7:00:00 PM UTC+8","November 12, 2025 at 12:40:00 AM UTC+8","新竹,颱風假新竹,新竹縣,新竹放假,邱臣遠,新竹市,颱風假 新竹,新竹 放假,新竹 颱風,新竹風速","https://trends.google.com/trends/explore?q=%E6%96%B0%E7%AB%B9&geo=TW&hl=en-US"
"高鐵","5K+","November 11, 2025 at 8:00:00 PM UTC+8","November 11, 2025 at 11:20:00 PM UTC+8","高鐵,高鐵停駛,台灣高鐵,台鐵停駛,高鐵 颱風,高鐵颱風","https://trends.google.com/trends/explore?q=%E9%AB%98%E9%90%B5&geo=TW&hl=en-US"
"ipac","10K+","November 8, 2025 at 6:50:00 AM UTC+8","November 11, 2025 at 10:10:00 PM UTC+8","ipac","https://trends.google.com/trends/explore?q=ipac&geo=TW&hl=en-US"
"真珠美人魚","500+","November 11, 2025 at 7:00:00 PM UTC+8",,"真珠美人魚,珍珠美人魚","https://trends.google.com/trends/explore?q=%E7%9C%9F%E7%8F%A0%E7%BE%8E%E4%BA%BA%E9%AD%9A&geo=TW&hl=en-US"
"劉純妤","50K+","November 5, 2025 at 6:10:00 AM UTC+8","November 10, 2025 at 1:50:00 PM UTC+8","劉純妤,陳梅慧,太子集團特助,劉純妤 ig,劉純妤ig,林思銘,卓榮泰,辜淑雯,黃婕,太子集團台灣,李德維,太子,詐騙,王昱棠,天旭國際,天旭國際科技","https://trends.google.com/trends/explore?q=%E5%8A%89%E7%B4%94%E5%A6%A4&geo=TW&hl=en-US"
"faker","100K+","November 9, 2025 at 3:20:00 PM UTC+8","November 11, 2025 at 2:30:00 AM UTC+8","faker,t1,英雄聯盟世界大賽,t1 世界賽,英雄聯盟,lol,kt,lol 世界賽,kt t1,skt,skt t1,英雄聯盟世界賽,世界賽 lol,鄧紫棋,世界賽,2025 lol 世界賽,lol世界賽,lol 世界賽 2025,t1 faker,t1 kt 賠率,lol世界大賽,英雄聯盟世界賽冠軍,lol 世界 賽 冠軍,lol 世界 賽,世界大賽lol","https://trends.google.com/trends/explore?q=faker&geo=TW&hl=en-US"
"pchome","20K+","November 10, 2025 at 11:20:00 PM UTC+8","November 12, 2025 at 1:00:00 AM UTC+8","pchome,酷澎","https://trends.google.com/trends/explore?q=pchome&geo=TW&hl=en-US"
"南投停班停課","2K+","November 11, 2025 at 7:50:00 PM UTC+8","November 12, 2025 at 1:10:00 AM UTC+8","南投停班停課,南投颱風假,桃園 颱風,颱風桃園","https://trends.google.com/trends/explore?q=%E5%8D%97%E6%8A%95%E5%81%9C%E7%8F%AD%E5%81%9C%E8%AA%B2&geo=TW&hl=en-US"
"颱風假標準","5K+","November 10, 2025 at 1:30:00 PM UTC+8","November 12, 2025 at 1:00:00 AM UTC+8","颱風假標準","https://trends.google.com/trends/explore?q=%E9%A2%B1%E9%A2%A8%E5%81%87%E6%A8%99%E6%BA%96&geo=TW&hl=en-US"
"陽光女子合唱團","1K+","November 11, 2025 at 5:40:00 PM UTC+8","November 12, 2025 at 1:50:00 AM UTC+8","陽光女子合唱團","https://trends.google.com/trends/explore?q=%E9%99%BD%E5%85%89%E5%A5%B3%E5%AD%90%E5%90%88%E5%94%B1%E5%9C%98&geo=TW&hl=en-US"
"1111 優惠","2K+","November 10, 2025 at 10:30:00 PM UTC+8","November 12, 2025 at 12:20:00 AM UTC+8","1111 優惠","https://trends.google.com/trends/explore?q=1111%20%E5%84%AA%E6%83%A0&geo=TW&hl=en-US"
"地震速報","20K+","November 10, 2025 at 1:00:00 PM UTC+8","November 11, 2025 at 8:10:00 AM UTC+8","地震速報","https://trends.google.com/trends/explore?q=%E5%9C%B0%E9%9C%87%E9%80%9F%E5%A0%B1&geo=TW&hl=en-US"
"人事","2K+","November 10, 2025 at 7:50:00 PM UTC+8","November 11, 2025 at 11:40:00 PM UTC+8","人事","https://trends.google.com/trends/explore?q=%E4%BA%BA%E4%BA%8B&geo=TW&hl=en-US"
"台積電運動會","50K+","November 7, 2025 at 10:20:00 AM UTC+8","November 9, 2025 at 12:40:00 PM UTC+8","台積電運動會,劉家莊牛肉爐,張忠謀,魏哲家,黃仁勳台南,台積運動會,莉莉水果店,劉家莊,2330,台南劉家莊,台積電運動會獎金,台積電運動會獎金2025,台積運動會獎金,台積電,彪琥鞋業,台積電 運動會,台積電運動會地點,台積電運動會2025獎金","https://trends.google.com/trends/explore?q=%E5%8F%B0%E7%A9%8D%E9%9B%BB%E9%81%8B%E5%8B%95%E6%9C%83&geo=TW&hl=en-US"
"王文洋","2K+","November 10, 2025 at 4:00:00 PM UTC+8","November 12, 2025 at 2:30:00 AM UTC+8","王文洋","https://trends.google.com/trends/explore?q=%E7%8E%8B%E6%96%87%E6%B4%8B&geo=TW&hl=en-US"
"補充保費","50K+","November 5, 2025 at 9:30:00 AM UTC+8","November 8, 2025 at 4:10:00 PM UTC+8","補充保費,二代健保,二代健保補充保費,健保補充保費,補充保費新制,健保,股利二代健保,黃捷,衛福部,股息二代健保,中國時報","https://trends.google.com/trends/explore?q=%E8%A3%9C%E5%85%85%E4%BF%9D%E8%B2%BB&geo=TW&hl=en-US"
"黃蜂 對 湖人","5K+","November 11, 2025 at 7:50:00 AM UTC+8","November 11, 2025 at 4:10:00 PM UTC+8","黃蜂 對 湖人","https://trends.google.com/trends/explore?q=%E9%BB%83%E8%9C%82%20%E5%B0%8D%20%E6%B9%96%E4%BA%BA&geo=TW&hl=en-US"
"五月天演唱會","50K+","November 8, 2025 at 1:00:00 AM UTC+8","November 10, 2025 at 8:20:00 AM UTC+8","五月天演唱會,五月天,拓元,五月天跨年演唱會,拓元五月天,五月天搶票,台中洲際棒球場,五月天台中演唱會,拓元搶票,五月天演唱會門票,拓元 五月天","https://trends.google.com/trends/explore?q=%E4%BA%94%E6%9C%88%E5%A4%A9%E6%BC%94%E5%94%B1%E6%9C%83&geo=TW&hl=en-US"
"蕭美琴","10K+","November 8, 2025 at 6:40:00 AM UTC+8","November 11, 2025 at 1:30:00 PM UTC+8","蕭美琴,陳玉慧,翁履中,陳昭姿,蔡英文,蕭美琴歐洲議會","https://trends.google.com/trends/explore?q=%E8%95%AD%E7%BE%8E%E7%90%B4&geo=TW&hl=en-US"
"鴻勁","2K+","November 10, 2025 at 11:30:00 PM UTC+8","November 11, 2025 at 10:20:00 PM UTC+8","鴻勁,7769,7769 鴻勁","https://trends.google.com/trends/explore?q=%E9%B4%BB%E5%8B%81&geo=TW&hl=en-US"
"行政院","5K+","November 11, 2025 at 7:30:00 PM UTC+8","November 11, 2025 at 10:00:00 PM UTC+8","行政院","https://trends.google.com/trends/explore?q=%E8%A1%8C%E6%94%BF%E9%99%A2&geo=TW&hl=en-US"
"世界先進","1K+","November 11, 2025 at 7:00:00 PM UTC+8","November 12, 2025 at 2:10:00 AM UTC+8","世界先進,台積電重訊","https://trends.google.com/trends/explore?q=%E4%B8%96%E7%95%8C%E5%85%88%E9%80%B2&geo=TW&hl=en-US"
"戴資穎","10K+","November 7, 2025 at 10:00:00 PM UTC+8","November 11, 2025 at 1:10:00 AM UTC+8","戴資穎","https://trends.google.com/trends/explore?q=%E6%88%B4%E8%B3%87%E7%A9%8E&geo=TW&hl=en-US"
"賴冠儒","2K+","November 11, 2025 at 8:50:00 AM UTC+8","November 11, 2025 at 3:30:00 PM UTC+8","賴冠儒,簡廷芮王品澔,王品澔","https://trends.google.com/trends/explore?q=%E8%B3%B4%E5%86%A0%E5%84%92&geo=TW&hl=en-US"
